epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77363,2.77557,1.52918,0.70068,2.70374,2.45612,0.11111,0.5,0.09021,0.02706,0.22222,1,0.60611,0.27979,2.89801,1.50459,0.72593,4.16844,3.37565,0,0,0
2,2.34211,1.8226,1.71412,0.66017,2.61396,2.34569,0.1,0.5,0.0805,0.02415,0.1,0.5,0.5205,0.25298,2.8627,1.50417,0.72626,4.19295,3.34503,1.9802e-05,1.9802e-05,1.9802e-05
3,2.78352,2.43693,1.48885,0.71967,2.85916,2.75016,0.1,0.5,0.0805,0.02415,0.1,0.5,0.5205,0.25298,2.84141,1.53291,0.72639,4.20798,3.33978,3.9208e-05,3.9208e-05,3.9208e-05
4,3.30631,2.56597,1.1237,0.68651,2.72342,2.24196,0.11111,0.5,0.08333,0.025,0.22222,1,0.62,0.33098,2.92956,1.51545,0.72758,4.32719,3.3881,5.8218e-05,5.8218e-05,5.8218e-05
5,3.8407,2.48402,4.54512,0.70791,2.31821,2.60286,0.11111,0.5,0.08333,0.025,0.11111,0.5,0.52333,0.30198,2.9969,1.49908,0.72892,4.32434,3.41406,7.6832e-05,7.6832e-05,7.6832e-05
6,4.36389,2.18704,2.06422,0.73739,1.80531,1.62397,0.07692,0.5,0.09033,0.0271,0.15385,1,0.695,0.36521,3.04328,1.50086,0.729,4.0854,3.38816,9.505e-05,9.505e-05,9.505e-05
7,4.89334,2.5696,5.04758,0.77241,7.74646,2.76251,0.07692,0.5,0.09033,0.01807,0.15385,1,0.745,0.38442,3.03044,1.50048,0.72948,4.12278,3.37289,0.000112872,0.000112872,0.000112872
8,5.43862,1.68785,1.41633,0.66557,2.48931,2.59942,0.05263,0.5,0.05467,0.01093,0.10526,1,0.745,0.38118,3.19423,1.48733,0.72964,3.70489,3.4246,0.000130298,0.000130298,0.000130298
9,5.98783,1.66667,1.16324,0.74042,1.87778,2.66416,0.05556,0.5,0.06367,0.01273,0.11111,1,0.82833,0.41549,3.32299,1.52705,0.73053,3.65306,3.46083,0.000147328,0.000147328,0.000147328
10,6.61317,1.86333,2.34991,0.61878,1.49678,1.64222,0.08333,1,0.0995,0.01514,0.08333,1,0.82833,0.42715,3.46836,1.55884,0.72355,3.30905,3.42196,0.000163962,0.000163962,0.000163962
11,7.19752,2.38214,0.99645,0.78873,1.85761,2.10384,0.07692,1,0.08292,0.01308,0.07692,1,0.745,0.39328,3.45084,1.56292,0.72371,3.29715,3.39646,0.0001802,0.0001802,0.0001802
12,7.78913,2.10846,1.53093,0.75127,1.37886,2.25306,0.05556,1,0.16567,0.02827,0.29794,1,0.4975,0.21834,3.40265,1.57912,0.71536,2.68363,2.98115,0.000196042,0.000196042,0.000196042
13,8.37602,1.73584,2.57489,0.74077,4.80357,2.10192,0.08122,1,0.23486,0.10299,0.31165,0.46747,0.4975,0.22567,2.06256,1.62454,0.69799,2.18354,1.83446,0.000211488,0.000211488,0.000211488
14,8.90789,2.04645,0.74908,0.76918,2.79075,1.85919,0.32398,0.48597,0.25591,0.14441,0.45715,1,0.4975,0.25878,1.63893,1.63167,0.69009,2.14857,1.64314,0.000226538,0.000226538,0.000226538
15,9.43065,1.01725,0.76926,0.7359,1.12637,1.13266,0.15518,1,0.24875,0.10718,0.80079,0.5,0.82833,0.36549,2.26549,1.583,0.68848,2.29043,1.9703,0.000241192,0.000241192,0.000241192
16,9.96123,1.49218,1.95363,0.60594,1.2699,1.36836,0.12985,0.5,0.27611,0.09602,1,0.94889,0.995,0.3888,2.55215,1.50168,0.68546,2.077,2.18075,0.00025545,0.00025545,0.00025545
17,10.494,2.28285,0.895,0.65372,2.24467,1.75654,0.47069,0.5,0.62,0.10617,0.9156,1,0.995,0.46674,2.9059,1.52348,0.68348,2.10595,2.4948,0.000269312,0.000269312,0.000269312
18,11.0076,1.26278,0.37681,0.60565,1.66427,1.60156,0.47069,0.5,0.62,0.10617,0.9156,1,0.995,0.46674,2.9059,1.52348,0.68348,2.10595,2.4948,0.000282778,0.000282778,0.000282778
19,11.583,1.21217,0.80572,1.05876,1.27698,1.42158,0.17895,0.5,0.19042,0.03115,1,0.95415,0.995,0.56623,3.31978,1.59777,0.68774,2.2755,3.13072,0.000295848,0.000295848,0.000295848
20,12.1258,2.7341,4.42119,0.73906,3.00289,2.09362,0.17895,0.5,0.19042,0.03115,1,0.95415,0.995,0.56623,3.31978,1.59777,0.68774,2.2755,3.13072,0.000308522,0.000308522,0.000308522
21,12.6877,1.82763,0.65309,0.96935,0.97182,2.90671,0.01504,1,0.0796,0.01736,1,0.86063,0.995,0.52331,2.92886,1.60123,0.6693,3.05696,2.95416,0.0003208,0.0003208,0.0003208
22,13.2158,3.0813,1.10849,0.51859,2.23547,3.54675,0.01504,1,0.0796,0.01736,1,0.86063,0.995,0.52331,2.92886,1.60123,0.6693,3.05696,2.95416,0.000332682,0.000332682,0.000332682
23,13.7838,1.50679,1.00814,0.52139,0.95752,1.26275,0.0117,1,0.03121,0.0091,0.8022,0.5,0.695,0.40109,3.32734,1.83979,0.70536,3.20679,3.52819,0.000344168,0.000344168,0.000344168
24,14.2892,2.80799,0,0.85883,1.41527,2.21959,0.0117,1,0.03121,0.0091,0.8022,0.5,0.695,0.40109,3.32734,1.83979,0.70536,3.20679,3.52819,0.000355258,0.000355258,0.000355258
25,14.8144,3.05239,0.40927,0.69886,3.30723,2.65604,0.0098,1,0.02886,0.00945,0.31559,0.5,0.3725,0.16325,3.17113,1.77941,0.70909,3.41246,3.11896,0.000365952,0.000365952,0.000365952
