epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7225,2.75227,5.08636,0.70384,3.36497,1.84965,0,0,0,0,0,0,0,0,2.45076,1.66881,0.72971,5.12304,2.89638,0,0,0
2,2.25074,2.03808,5.53676,0.73489,3.88807,1.69718,0,0,0,0,0,0,0,0,2.40446,1.66719,0.73057,5.19492,2.89892,1.9802e-05,1.9802e-05,1.9802e-05
3,2.69737,2.83967,5.42278,0.72904,6.23933,2.6276,0,0,0,0,0,0,0,0,2.38891,1.66489,0.73054,5.24838,2.92803,3.9208e-05,3.9208e-05,3.9208e-05
4,3.14296,2.10806,4.8779,0.71317,2.85688,1.71358,0,0,0,0,0,0,0,0,2.33837,1.66142,0.73044,5.34598,2.94896,5.8218e-05,5.8218e-05,5.8218e-05
5,3.56886,2.37881,3.7779,0.72007,2.87884,2.07066,0,0,0,0,0,0,0,0,2.28662,1.64645,0.7312,5.45866,2.94921,7.6832e-05,7.6832e-05,7.6832e-05
6,4.02962,3.24957,4.76335,0.71815,3.96222,2.11795,0,0,0,0,0,0,0,0,2.26474,1.66637,0.73362,4.99214,2.82952,9.505e-05,9.505e-05,9.505e-05
7,4.63957,1.43409,4.65261,0.66953,1.64147,0.96911,0,0,0,0,0,0,0,0,2.22883,1.66587,0.73442,5.1753,2.8379,0.000112872,0.000112872,0.000112872
8,5.17602,1.23002,2.82802,0.6571,1.69028,1.21572,0,0,0,0,0,0,0,0,2.33472,1.68949,0.7364,4.52672,2.87822,0.000130298,0.000130298,0.000130298
9,5.75019,1.81095,4.42859,0.7157,1.62022,1.27263,0,0,0,0,0,0,0,0,2.44048,1.73601,0.73772,4.16642,2.95361,0.000147328,0.000147328,0.000147328
10,6.30305,1.71,3.27153,0.73552,1.27664,1.32855,0,0,0,0,0,0,0,0,2.59149,1.7628,0.73523,3.97227,3.02555,0.000163962,0.000163962,0.000163962
11,6.89426,1.82286,3.13448,0.74507,1.42372,1.28859,0.01754,1,0.01777,0.00888,0.71784,1,0.995,0.51171,2.69276,1.7723,0.73865,3.77158,3.10439,0.0001802,0.0001802,0.0001802
12,7.43998,1.61001,2.47549,0.69093,1.28336,1.27987,0.0125,1,0.03317,0.00967,0.69907,1,0.995,0.50655,2.68785,1.76368,0.73862,3.64097,3.15139,0.000196042,0.000196042,0.000196042
13,7.99058,1.26305,1.8683,0.64791,0.96937,1.14122,0.01075,1,0.02843,0.00827,0.58852,1,0.995,0.50579,2.60025,1.79692,0.73625,3.46785,3.18054,0.000211488,0.000211488,0.000211488
14,8.55092,1.31179,1.76326,0.80018,0.78106,1.1259,0.00952,1,0.02073,0.0086,0.60699,1,0.995,0.50335,2.61963,1.83997,0.73608,3.42588,3.24121,0.000226538,0.000226538,0.000226538
15,9.18515,1.39028,1.72882,0.70732,0.96077,1.16212,0.00952,1,0.01631,0.00816,0.06807,1,0.995,0.50105,2.60457,1.83981,0.73596,3.43778,3.22589,0.000241192,0.000241192,0.000241192
16,9.7663,0.98137,1.78772,0.66139,0.81465,1.10524,0.00935,1,0.01913,0.00765,0.00935,1,0.995,0.49999,2.71623,1.85546,0.73,3.46828,3.25105,0.00025545,0.00025545,0.00025545
17,10.3137,0.82378,1.1282,0.71989,0.6678,1.03008,0.0087,1,0.01421,0.00569,0.0087,1,0.995,0.24339,2.70075,1.88475,0.73328,3.53762,3.22826,0.000269312,0.000269312,0.000269312
18,10.8782,1.18182,0.67087,0.71038,0.80524,1.25199,0.0087,1,0.01421,0.00569,0.0087,1,0.995,0.24339,2.70075,1.88475,0.73328,3.53762,3.22826,0.000282778,0.000282778,0.000282778
19,11.418,0.92648,1.63974,0.6616,0.69098,1.11727,0.00885,1,0.02314,0.00571,0.1725,1,0.995,0.22651,2.54111,1.93158,0.73059,3.81504,3.08423,0.000295848,0.000295848,0.000295848
20,11.9715,0.85783,1.22229,0.65748,0.81632,1.1522,0.00885,1,0.02314,0.00571,0.1725,1,0.995,0.22651,2.54111,1.93158,0.73059,3.81504,3.08423,0.000308522,0.000308522,0.000308522
21,12.5454,1.40992,1.09162,0.91182,1.47246,1.27831,0.00885,1,0.02314,0.00571,0.1725,1,0.995,0.22651,3.13955,1.95604,0.73159,3.69664,3.16585,0.0003208,0.0003208,0.0003208
22,13.0575,0.8969,0.94373,0.74222,0.68423,1.02025,0.00885,1,0.02314,0.00571,0.1725,1,0.995,0.22651,3.13955,1.95604,0.73159,3.69664,3.16585,0.000332682,0.000332682,0.000332682
23,13.585,0.74267,0.79998,0.69775,0.56443,0.94685,0.0098,1,0.0995,0.00995,0.54298,1,0.995,0.25726,3.04676,1.95415,0.73113,3.62183,3.02115,0.000344168,0.000344168,0.000344168
24,14.1291,1.12541,0.86939,0.58966,0.99447,1.04535,0.0098,1,0.0995,0.00995,0.54298,1,0.995,0.25726,3.04676,1.95415,0.73113,3.62183,3.02115,0.000355258,0.000355258,0.000355258
25,14.7638,0.84534,0.76435,0.84157,0.56311,0.94406,0.01099,1,0.12437,0.03731,0.04688,1,0.995,0.33084,3.06037,1.99703,0.72881,3.04547,2.29952,0.000365952,0.000365952,0.000365952
26,15.2949,1.40661,1.70419,0.66993,0.87131,1.12499,0.01099,1,0.12437,0.03731,0.04688,1,0.995,0.33084,3.06037,1.99703,0.72881,3.04547,2.29952,0.00037625,0.00037625,0.00037625
27,15.8765,1.42392,0.74826,0.55931,0.87914,1.05324,0.01235,1,0.24875,0.17413,0.01235,1,0.33167,0.15905,1.86251,2.06814,0.72791,2.58652,1.88637,0.000386152,0.000386152,0.000386152
28,16.4784,1.13874,0.65831,0.65772,0.89058,0.97671,0.01235,1,0.24875,0.17413,0.01235,1,0.33167,0.15905,1.86251,2.06814,0.72791,2.58652,1.88637,0.000395658,0.000395658,0.000395658
29,17.3272,1.06502,0.68678,0.61924,0.79999,1.01395,0.01316,1,0.4975,0.14925,0.01316,1,0.995,0.2985,2.2481,1.96006,0.72422,2.79468,1.88361,0.000404768,0.000404768,0.000404768
30,17.923,1.22147,1.73213,0.74114,0.72163,1.00577,0.01316,1,0.4975,0.14925,0.01316,1,0.995,0.2985,2.2481,1.96006,0.72422,2.79468,1.88361,0.000413482,0.000413482,0.000413482
31,18.4778,0.86603,0.72108,0.73316,0.69481,0.93742,0.01493,1,0.4975,0.06633,0.01493,1,0.4975,0.2985,2.52079,1.96074,0.70681,3.03973,2.01963,0.0004218,0.0004218,0.0004218
32,19.0155,0.95675,0.63086,0.56903,0.81241,1.04107,0.01493,1,0.4975,0.06633,0.01493,1,0.4975,0.2985,2.52079,1.96074,0.70681,3.03973,2.01963,0.000429722,0.000429722,0.000429722
33,19.7181,1.21882,0.35976,0.62516,0.79601,1.2028,0.01639,1,0.04146,0.00932,0.01639,1,0.4975,0.2985,3.18859,1.93341,0.68818,3.2914,2.25386,0.000437248,0.000437248,0.000437248
34,20.3098,1.18467,0.41167,0.5849,0.85886,1.26683,0.01639,1,0.04146,0.00932,0.01639,1,0.4975,0.2985,3.18859,1.93341,0.68818,3.2914,2.25386,0.000444378,0.000444378,0.000444378
35,21.0321,0.77327,0.8084,0.7471,0.85515,0.80653,0.01818,1,0.03015,0.00603,0.01818,1,0.24875,0.14925,3.41103,1.84591,0.68289,3.2492,2.34817,0.000451112,0.000451112,0.000451112
36,21.8749,1.31394,0.57228,0.82782,1.5874,1.18053,0.01818,1,0.03015,0.00603,0.01818,1,0.24875,0.14925,3.41103,1.84591,0.68289,3.2492,2.34817,0.00045745,0.00045745,0.00045745
37,22.4975,1.17217,0.34428,0.63774,0.76517,1.0301,0.01562,1,0.11056,0.01616,0.29906,1,0.995,0.597,3.54526,1.76559,0.66891,2.69476,2.37767,0.000463392,0.000463392,0.000463392
38,23.0557,1.20146,0.18931,0.55221,0.84051,1.00138,0.01562,1,0.11056,0.01616,0.29906,1,0.995,0.597,3.54526,1.76559,0.66891,2.69476,2.37767,0.000468938,0.000468938,0.000468938
39,23.6191,0.79516,0.48509,0.78893,0.91463,0.97384,0.01515,1,0.02314,0.00926,0.2718,1,0.4975,0.30845,3.31991,1.74296,0.65557,2.81343,2.42732,0.000474088,0.000474088,0.000474088
40,24.1329,1.15524,0.84451,0.5294,1.13032,1.18519,0.01515,1,0.02314,0.00926,0.2718,1,0.4975,0.30845,3.31991,1.74296,0.65557,2.81343,2.42732,0.000478842,0.000478842,0.000478842
